State,Area_name,Unemployment rate 2007,Unemployment rate 2008,Unemployment rate 2009,Unemployment rate 2010,Unemployment rate 2011,Unemployment rate 2012,Unemployment rate 2013,Unemployment rate 2014,Unemployment rate 2015,Unemployment rate 2016,Unemployment rate 2017,Unemployment rate 2018,Rate Change from 2007 to 2008,Rate Change from 2008 to 2018
RI,Rhode Island,5.2,7.8,11.0,11.2,11.0,10.4,9.3,7.7,6.0,5.2,4.4,4.1,2.5999999999999996,-3.7
SC,South Carolina,5.7,6.8,11.2,11.2,10.6,9.2,7.6,6.5,6.0,5.0,4.3,3.4,1.0999999999999996,-3.4
SD,South Dakota,2.8,3.1,4.9,5.0,4.7,4.3,3.8,3.4,3.1,3.0,3.2,3.0,0.30000000000000027,-0.10000000000000009
TN,Tennessee,4.7,6.6,10.5,9.7,9.0,7.8,7.8,6.6,5.6,4.7,3.8,3.5,1.8999999999999995,-3.0999999999999996
TX,Texas,4.3,4.8,7.6,8.1,7.8,6.7,6.3,5.1,4.4,4.6,4.3,3.9,0.5,-0.8999999999999999
UT,Utah,2.6,3.6,7.3,7.8,6.7,5.4,4.6,3.8,3.6,3.4,3.3,3.1,1.0,-0.5
VT,Vermont,4.0,4.7,6.6,6.1,5.5,5.0,4.4,3.9,3.6,3.2,3.0,2.7,0.7000000000000002,-2.0
VA,Virginia,3.0,3.9,6.7,7.1,6.6,6.1,5.7,5.2,4.5,4.1,3.7,3.0,0.8999999999999999,-0.8999999999999999
WA,Washington,4.7,5.4,9.2,10.0,9.3,8.1,7.0,6.1,5.6,5.3,4.7,4.5,0.7000000000000002,-0.9000000000000004
WV,West Virginia,4.6,4.3,7.7,8.7,8.1,7.5,6.8,6.6,6.7,6.1,5.2,5.3,-0.2999999999999998,1.0
WI,Wisconsin,4.9,4.9,8.6,8.7,7.8,7.0,6.7,5.4,4.6,4.0,3.3,3.0,0.0,-1.9000000000000004
WY,Wyoming,2.8,3.1,6.3,6.4,5.8,5.3,4.7,4.1,4.3,5.3,4.2,4.1,0.30000000000000027,0.9999999999999996
PR,Puerto Rico,11.2,11.8,15.3,16.4,16.0,14.5,14.3,13.9,12.0,11.8,10.8,9.2,0.6000000000000014,-2.6000000000000014
